time	action	midinote	velocity
324.311565738	128	68	64
324.398816959	144	68	25
324.462291897	128	68	64
324.516667935	128	43	64
324.516767319	144	43	41
324.550062661	144	68	29
324.612064815	128	68	64
324.698739413	144	68	34
324.722931987	128	43	64
324.723037951	144	43	38
324.761594593	128	68	64
324.864941398	144	68	36
324.928505925	128	68	64
324.936199199	128	43	64
324.936317263	144	43	35
325.000205312	144	68	38
325.024819079	128	43	64
325.024950904	144	43	46
325.061981065	128	68	64
325.110125828	128	43	64
325.110220428	144	43	37
325.148769576	144	68	38
325.213347862	128	68	64
325.250726998	128	43	64
325.250852008	144	43	52
325.282627355	144	68	36
325.340646821	128	43	64
325.340739087	144	43	40
325.344677757	128	68	64
325.45335142	128	43	64
325.453453628	144	43	49
325.534879227	128	43	64
325.534982201	144	43	36
325.633073508	128	43	64
325.633173375	144	43	52
325.705764798	144	68	31
325.713501596	128	43	64
325.713579142	144	43	38
325.74536437	128	68	64
325.813492936	128	43	64
325.813589985	144	43	52
325.831434325	144	68	33
325.884869539	128	43	64
325.884966645	144	43	40
325.89497062	128	68	64
325.981466981	144	68	35
325.989086208	128	43	64
325.989240494	144	43	59
326.026366688	128	68	64
326.100810049	128	43	64
326.100911909	144	43	42
326.131584042	144	68	36
326.138600677	128	43	64
326.138702376	144	43	60
326.178939107	128	68	64
326.200494582	128	43	64
326.200591829	144	43	43
326.248763032	144	68	39
326.298803131	128	43	64
326.298877611	144	43	60
326.311558994	128	68	64
326.353612872	128	43	64
326.35370775	144	43	41
326.488304131	144	68	53
326.499911278	128	43	64
326.500005797	144	43	51
326.528403828	128	68	64
326.67170464	144	68	63
326.692933449	128	68	64
326.856555973	144	68	87
326.87551825	128	68	64
326.930733755	128	43	64
327.055073488	144	68	100
327.09494127	128	68	64
327.288835495	144	68	107
327.328175149	128	68	64
327.537167404	144	43	64
328.090437527	144	68	46
328.108754245	128	68	64
328.257797016	144	68	53
328.295622842	128	68	64
328.455167739	144	68	114
328.475103332	128	68	64
329.457179514	128	43	64
329.457279612	144	43	104
329.733147424	128	43	64
329.733310474	144	43	110
329.936128831	128	43	64
329.936230717	144	43	111
329.988775349	144	68	11
329.996213128	128	68	64
330.064863278	144	68	51
330.120752079	128	43	64
330.120850564	144	43	110
330.14736667	128	68	64
330.151391444	144	68	20
330.17829583	128	68	64
330.214423769	144	68	67
330.259627524	128	68	64
330.262398876	128	43	64
330.26247697	144	43	105
330.301893885	144	68	39
330.316648024	128	68	64
330.398466617	144	68	60
330.408608779	128	43	64
330.408709099	144	43	105
330.46525734	128	68	64
330.481377371	144	68	122
330.538823928	128	43	64
330.538921873	144	43	104
330.545178609	128	68	64
330.671574919	128	43	64
330.671677783	144	43	105
330.829486867	128	43	64
330.829591236	144	43	100
330.972146186	144	68	113
330.975205066	128	43	64
330.975294229	144	43	100
330.978904593	128	68	64
331.139391714	128	43	64
331.139479601	144	43	102
331.295068112	128	43	64
331.295278713	144	43	100
331.306743544	144	68	124
331.345322858	128	68	64
331.456857068	128	43	64
331.456952252	144	43	97
332.155925503	144	68	91
332.197296809	128	68	64
332.653230265	128	43	64
332.653324676	144	43	41
332.783980238	128	43	64
332.78407814	144	43	39
332.851072476	144	68	95
332.928250194	128	43	64
332.928348847	144	43	40
332.944132745	128	68	64
333.134664834	128	43	64
333.134763576	144	43	21
333.189339308	144	68	103
333.228310291	128	68	64
333.27585065	128	43	64
333.275951012	144	43	68
333.351662562	128	43	64
333.351761938	144	43	37
333.452660044	144	68	98
333.460035318	128	43	64
333.46013456	144	43	76
333.527875275	128	68	64
333.536879709	128	43	64
333.536984271	144	43	42
333.647195044	128	43	64
333.647293094	144	43	84
333.672067543	144	68	103
333.714471233	128	43	64
333.714586114	144	43	45
333.745942009	128	68	64
333.788806396	128	43	64
333.7889063	144	43	84
333.815056944	144	68	104
333.906404681	128	43	64
333.90665119	144	43	46
333.910463815	128	68	64
333.990391038	128	43	64
333.99048763	144	43	82
333.997053624	144	68	105
334.078762609	128	68	64
334.096027387	128	43	64
334.096121173	144	43	44
334.267735528	128	43	64
334.267837296	144	43	82
334.278433566	128	43	64
334.278532902	144	43	41
334.406148127	128	43	64
334.406244403	144	43	78
334.497327079	128	43	64
334.497425236	144	43	41
334.571585242	128	43	64
334.571691614	144	43	80
334.660228273	128	43	64
334.66032544	144	43	38
334.696685418	128	43	64
334.696807446	144	43	79
334.782675361	128	43	64
334.782766915	144	43	39
334.933673161	128	43	64
334.933769766	144	43	79
334.997078803	128	43	64
334.997171169	144	43	72
335.207018669	128	43	64
335.207113606	144	43	79
335.303431764	128	43	64
335.303526057	144	43	39
335.401441077	128	43	64
335.401543436	144	43	79
335.518962264	128	43	64
335.519059263	144	43	42
335.599661507	128	43	64
335.599759038	144	43	81
335.688278431	128	43	64
335.688373738	144	43	40
335.797669234	128	43	64
335.797761381	144	43	79
336.475716245	128	43	64
336.475822123	144	43	42
336.476064752	128	43	64
336.476110761	144	43	80
336.699787236	128	43	64
336.699882829	144	43	82
336.991541535	128	43	64
336.991636752	144	43	50
337.182359447	128	43	64
337.182456153	144	43	81
337.427460105	128	43	64
337.427558917	144	43	82
337.58720372	128	43	64
337.587309045	144	43	46
337.758301845	128	43	64
337.758393784	144	43	50
337.94627503	128	43	64
337.946375866	144	43	52
338.110095963	128	43	64
338.110194301	144	43	47
338.253736601	128	43	64
338.25383477	144	43	47
338.384280014	128	43	64
338.38438182	144	43	50
338.533553647	128	43	64
338.533653752	144	43	52
338.702123925	128	43	64
338.702229477	144	43	53
338.842389202	128	43	64
338.842490998	144	43	56
339.717967468	128	43	64
340.672167754	144	43	44
340.721975216	128	43	64
341.50380066	144	43	41
341.541660592	128	43	64
342.376240608	144	43	55
342.441336385	128	43	64
342.82265154	144	43	55
342.903786576	128	43	64
344.016763369	144	43	78
344.51330255	128	43	64
344.876151136	144	43	53
344.955681704	128	43	64
345.59536985	144	43	44
345.688288366	128	43	64
346.03559626	144	43	47
346.135966243	128	43	64
347.280176203	144	43	53
347.35250352	128	43	64
347.67419845	144	43	109
347.801084035	128	43	64
348.055603062	144	43	52
348.089226211	128	43	64
348.496039266	144	43	101
348.55242177	128	43	64
349.073578756	144	68	93
349.073767689	128	68	64
349.13204429	144	68	101
349.195634079	128	68	64
349.266234328	144	68	123
349.329033597	128	68	64
349.337006194	144	43	48
349.377583605	128	43	64
350.085426645	144	43	51
350.134971674	128	43	64
350.525099161	144	43	50
350.590595072	128	43	64
350.657063649	144	68	78
350.711158482	128	68	64
351.07309778	144	68	102
351.112482879	128	68	64
352.48959457	144	68	35
352.578249281	128	68	64
352.665573878	144	68	38
352.728960015	128	68	64
352.815419492	144	68	44
352.879016474	128	68	64
352.934191363	144	68	53
352.994702374	128	68	64
353.10042046	144	68	80
353.17788467	128	68	64
353.217899982	144	68	105
353.361745757	128	68	64
353.41580902	144	68	123
353.557445018	128	68	64
353.839213909	144	68	127
353.894665535	128	68	64
354.23977798	144	68	127
354.294425355	128	68	64
354.622680804	144	68	105
354.662395955	128	68	64
354.901685945	144	68	77
354.94474759	128	68	64
355.138063695	144	68	64
355.145299217	128	68	64
355.249042992	144	68	64
355.327934568	128	68	64
355.62298426	144	68	47
355.695013165	128	68	64
356.04021755	144	68	42
356.094765496	128	68	64
356.356338598	144	68	39
356.445114554	128	68	64
356.706461597	144	68	24
356.853145907	128	68	64
357.139965258	144	68	24
357.228991421	128	68	64
357.606947461	144	68	32
357.751373366	128	68	64
357.798390581	144	68	42
357.895148928	128	68	64
357.981744119	144	68	66
358.082995191	128	68	64
358.13512025	144	68	90
358.21024455	128	68	64
358.251701216	144	68	112
358.262474628	144	43	88
358.305704136	128	43	64
358.393484175	128	68	64
359.273618401	144	68	103
359.3117596	128	68	64
359.93908522	144	43	19
360.336576544	128	43	64
361.50230567	144	43	48
361.566595815	128	43	64
386.291458731	144	68	43
386.328900226	128	68	64
386.399086814	144	68	32
386.48105046	128	68	64
386.567042302	144	68	35
386.629996159	128	68	64
386.716810452	144	68	35
386.760233942	128	68	64
389.341542637	144	68	70
389.395392831	128	68	64
389.415160189	144	68	34
389.447034711	128	68	64
389.501318794	144	68	81
389.543109603	128	68	64
389.585224396	144	68	44
389.613900378	128	68	64
389.634608101	144	68	111
389.697686886	128	68	64
390.191011581	144	68	51
390.230520308	128	68	64
390.286518721	144	68	105
390.353645307	128	68	64
390.353772823	144	68	72
390.415074374	128	68	64
390.435392722	144	68	126
390.498760498	128	68	64
390.503207464	144	68	96
390.530248813	128	68	64
390.92517167	144	68	101
390.963367166	128	68	64
391.209503934	144	68	65
391.279425866	128	68	64
391.507482801	144	68	40
391.578802705	128	68	64
391.941945777	144	68	17
391.980458622	128	68	64
394.508859347	144	68	20
394.528025387	128	68	64
394.557071198	144	68	7
394.58056921	128	68	64
394.622078453	144	68	38
394.695515953	128	68	64
394.698374027	144	68	18
394.730112429	128	68	64
394.766901628	144	68	58
394.830635125	128	68	64
394.854001979	144	68	32
394.881021311	128	68	64
394.920014899	144	68	81
394.963743569	128	68	64
394.983946376	144	68	51
395.027746647	128	68	64
395.103070002	144	68	124
395.146966701	128	68	64
518.167847928	144	68	41
518.168029973	128	68	64
518.280614098	144	68	51
518.281864797	128	68	64
518.458472278	144	68	63
518.458674063	128	68	64
518.473806049	144	68	81
518.638746397	128	68	64
518.639031196	144	68	92
518.647368721	128	68	64
518.817671132	144	68	108
518.817787667	128	68	64
518.907450999	144	68	114
518.90767672	128	68	64
519.958094119	144	68	106
519.963794727	128	68	64
520.353438059	144	68	118
520.513087512	128	68	64
520.804863536	144	68	114
520.867244278	128	68	64
521.128607467	144	68	79
521.20317134	128	68	64
521.459878382	144	68	73
521.516000124	128	68	64
522.345674079	144	68	66
522.386558634	128	68	64
522.691850154	144	68	63
522.74179994	128	68	64
523.014947428	144	68	69
523.066218777	128	68	64
523.177911021	144	43	89
523.220279097	128	43	64
523.313103634	144	68	70
523.382927053	128	68	64
523.561485119	144	68	72
523.600747854	128	68	64
528.740338135	144	43	89
528.838425612	128	43	64
569.902002146	128	43	64
583.493245076	144	73	32
583.542049446	128	73	64
583.641321114	144	73	38
583.7065528	128	73	64
583.786481419	144	73	45
583.823011683	128	73	64
583.924661549	144	73	59
583.984911436	128	73	64
584.071960483	144	73	83
584.112442208	128	73	64
584.213185244	144	73	106
584.246619617	128	73	64
585.382518358	128	73	64
601.382637071	144	60	40
601.434389241	128	60	64
601.787470014	144	60	44
601.83572163	128	60	64
602.030824654	144	60	45
602.070953681	128	60	64
602.115231023	144	60	44
602.186420399	128	60	64
602.252317109	144	60	45
602.317264358	128	60	64
602.382830733	144	60	44
602.459289524	128	60	64
602.475643299	144	60	44
603.552487211	128	60	64
603.638922855	144	60	46
603.708134433	128	60	64
603.781091107	144	60	47
603.947239008	128	60	64
604.005011633	144	60	47
604.096720267	128	60	64
604.131089525	144	60	45
604.196994118	128	60	64
604.699007146	144	60	62
605.116411149	128	60	64
605.332445401	144	60	95
605.433786789	128	60	64
605.54936965	144	60	104
605.585935675	128	60	64
605.835153497	144	60	112
605.915613472	128	60	64
606.293442444	144	60	65
